,sentence,term,polarity,from,to,ln
17,"A gentleman, maybe the manager, came to our table, and without so much as a smile or greeting asked for our order.","['manager', 'table']","['negative', 'neutral']","['23', '44']","['30', '49']","[7, 5]"
18,"A glass of Leaping Lizard, a glass of prosecco, and the mussels had everything happy.","['glass of prosecco', 'mussels', 'glass of Leaping Lizard']","['positive', 'positive', 'positive']","['29', '56', '2']","['46', '63', '25']","[17, 7, 23]"
19,A great choice at any cost and a great deal.,['cost'],['positive'],['22'],['26'],[4]
20,A great way to make some money is to buy a case of snapple from Costco and sell it right outside for only $2.50.,['case of snapple'],['neutral'],['43'],['58'],[15]
21,"A large is $20, and toppings are about $3 each.",['toppings'],['neutral'],['20'],['28'],[8]
22,A must for all the Dosa lovers.,['Dosa'],['positive'],['19'],['23'],[4]
23,"A narrow corridor leads to a tiny space where there are three tiny white tiled counters, a great deal of mess (stacks of bottles, cans) and a small counter holding 12-14 entrees.","['corridor', 'space', 'counters', 'counter', 'entrees']","['negative', 'negative', 'negative', 'negative', 'neutral']","['9', '34', '79', '148', '170']","['17', '39', '87', '155', '177']","[8, 5, 8, 7, 7]"
24,A restaurant that doesn't try to do anything except serve great food with great service in a pleasant atmosphere.,"['food', 'service', 'atmosphere']","['positive', 'positive', 'positive']","['64', '80', '102']","['68', '87', '112']","[4, 7, 10]"
25,A touch more jalapeno heat for contrast and it would have been very good indeed.,['jalapeno'],['positive'],['13'],['21'],[8]
26,"A very inviting restaurant, with friendly service.",['service'],['positive'],['42'],['49'],[7]
27,A wonderful place!,['place'],['positive'],['12'],['17'],[5]
28,A++   The service was good to excellent along with the attitude.,"['service', 'attitude']","['positive', 'positive']","['10', '55']","['17', '63']","[7, 8]"
29,Acceptable prices.,['prices'],['positive'],['11'],['17'],[6]
30,Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,"['service', 'food', 'price']","['positive', 'positive', 'positive']","['18', '36', '57']","['25', '40', '62']","[7, 4, 5]"
31,"Admittedly some nights inside the restaurant were rather warm, but the open kitchen is part of the charm.",['open kitchen'],['positive'],['71'],['83'],[12]
32,"Admittedly, this is not the place for gigantic pieces of fish overflowing the plate (and thank goodness, in my opinion) but for simple, elegant sushi there is no better place in New York or anywhere in the US.","['sushi', 'fish']","['positive', 'neutral']","['144', '57']","['149', '61']","[5, 4]"
33,"After 2 tries by the waiter to take it away (we hadn't even looked at it yet, we had full beers yet to drink), the manager approached and told us they needed the table for people with reservations.","['waiter', 'beers', 'manager', 'reservations']","['negative', 'neutral', 'negative', 'positive']","['21', '90', '115', '184']","['27', '95', '122', '196']","[6, 5, 7, 12]"
34,"After a seafood craving, i checked citysearch and chose to go to Fish based on a previous review and the citysearch info.",['seafood'],['neutral'],['8'],['15'],[7]
35,"After all that, they complained to me about the small tip.",['tip'],['negative'],['54'],['57'],[3]
36,"After being told that our party of three would be seated in 10 minutes and watching other parties (multiples of 2 and higher) seated for 40 minutes, the three of us were squished into a small 2-person table.",['2-person table'],['negative'],['192'],['206'],[14]
37,"After complaining about the chicken dish, the manager came over to tell us that, no one had ever complained before, and that we just didn't know what the dish was supposed to taste like.","['chicken dish', 'manager', 'dish']","['negative', 'negative', 'neutral']","['28', '46', '154']","['40', '53', '158']","[12, 7, 4]"
38,After dealing with subpar pizza all over the Kensington neighborhood - I've found little toninos.,['pizza'],['negative'],['26'],['31'],[5]
39,"After dinner, take your date to the HUGE dance floor, probably one of the biggest you'll see in NY.","['dance floor', 'dinner']","['positive', 'neutral']","['41', '6']","['52', '12']","[11, 6]"
40,After my 3rd time the manager remembered me and treated me like an usual customer.,['manager'],['positive'],['22'],['29'],[7]
41,After passing by this restaurant for sometime I finally decided to go in and have dinner.,['dinner'],['neutral'],['82'],['88'],[6]
42,After really enjoying ourselves at the bar we sat down at a table and had dinner.,"['bar', 'table', 'dinner']","['positive', 'neutral', 'neutral']","['39', '60', '74']","['42', '65', '80']","[3, 5, 6]"
43,"After the main course came, we didn't see our waiter for at least 40 MINUTES!","['main course', 'waiter']","['neutral', 'negative']","['10', '46']","['21', '52']","[11, 6]"
44,"After we got our sashimi order, I could not believe how small the portions were!","['sashimi', 'portions']","['neutral', 'negative']","['17', '66']","['24', '74']","[7, 8]"
45,"Again, the waitress was awesome.",['waitress'],['positive'],['11'],['19'],[8]
46,"All I can say is $2 pints during happy hour and the some of the cheapest oysters you'll find in the city, though the quality is some of the best.","['oysters', 'quality']","['positive', 'positive']","['73', '117']","['80', '124']","[7, 7]"
47,All conveniently delivered right to the door.,['delivered'],['positive'],['17'],['26'],[9]
48,All in all the food was above average and I would return to see how they operate with four or less dinners.,"['food', 'dinners']","['positive', 'neutral']","['15', '99']","['19', '106']","[4, 7]"
49,"All in all, this midtown gem instantly became one of my favorite sushi restaurants in the city.",['sushi'],['positive'],['65'],['70'],[5]
50,All my co-workers were amazed at how small the dish was.,['dish'],['negative'],['47'],['51'],[4]
51,All of my co-workers stated that the food was amazing and wondered why they hadn't heard about this place.,['food'],['positive'],['37'],['41'],[4]
52,All of the pizzas are terrific and the price is even better!,"['pizzas', 'price']","['positive', 'positive']","['11', '39']","['17', '44']","[6, 5]"
53,All the NYU students love this place so it makes for a fun young atmosphere.,['atmosphere'],['positive'],['65'],['75'],[10]
54,"All the appetizers and salads were fabulous, the steak was mouth watering and the pasta was delicious!!!","['appetizers', 'salads', 'steak', 'pasta']","['positive', 'positive', 'positive', 'positive']","['8', '23', '49', '82']","['18', '29', '54', '87']","[10, 6, 5, 5]"
55,All the desserts the group tried got favorable reviews.,['desserts'],['positive'],['8'],['16'],[8]
56,All the food was hot tasty.,['food'],['positive'],['8'],['12'],[4]
57,"All the money went into the interior decoration, none of it went to the chefs.","['interior decoration', 'chefs']","['positive', 'negative']","['28', '72']","['47', '77']","[19, 5]"
58,All the pastas are fantastic and the homemade lasagna is some of the best that I have had in the City.,"['pastas', 'homemade lasagna']","['positive', 'positive']","['8', '37']","['14', '53']","[6, 16]"
59,All we received was an apology as we left to see our show without dinner.,['dinner'],['neutral'],['66'],['72'],[6]
60,Also a little more expensive than your average bagel place.,['bagel'],['neutral'],['47'],['52'],[5]
61,"Also good for client lunch meetings, esp.",['lunch meetings'],['neutral'],['21'],['35'],[14]
62,"Also, don't plan on asking for your favorite roll, if it's not on the menu, you can't have it.","['roll', 'menu']","['negative', 'negative']","['45', '70']","['49', '74']","[4, 4]"
63,"Also, if you don't want to sit at a certain table, you don't have to!",['table'],['positive'],['44'],['49'],[5]
64,"Also, specify if you like your food spicy- its rather bland if you don't.",['food'],['neutral'],['31'],['35'],[4]
65,"Also, the hostess called me today to thank us for coming and mentioned how she hoped that my girlfriend enjoyed her birthday - unexpected, but a truly above and beyond thing to do...",['hostess'],['positive'],['10'],['17'],[7]
66,"Also, the sandwiches (nearing $7) didn't come with anything like chips or a side.","['sandwiches', 'chips', 'side']","['negative', 'neutral', 'neutral']","['10', '65', '76']","['20', '70', '80']","[10, 5, 4]"
67,"Also, top the meal with a delicious and perfect slice of tiramisu.","['tiramisu', 'meal']","['positive', 'neutral']","['57', '14']","['65', '18']","[8, 4]"
68,Although be warned their dinner menu to sit and take out prices are different.,"['prices', 'dinner menu to sit', 'take out']","['neutral', 'neutral', 'neutral']","['57', '25', '48']","['63', '43', '56']","[6, 18, 8]"
69,"Although the place could be a little more eye catching and roomier, at the same time, it doesn't really matter.",['place'],['conflict'],['13'],['18'],[5]
70,"Although the tables may be closely situated, the candle-light, food-quality and service overcompensate.","['candle-light', 'food-quality', 'service', 'tables']","['positive', 'positive', 'positive', 'negative']","['49', '63', '80', '13']","['61', '75', '87', '19']","[12, 12, 7, 6]"
71,Although they do the typical what kind of water would you like questions the service was good and overall very relaxing to place to eat.,"['service', 'place', 'water']","['positive', 'positive', 'neutral']","['77', '123', '42']","['84', '128', '47']","[7, 5, 5]"
72,Although we were looking for regular lettuce and some walnuts the salads we got were great.,"['salads', 'lettuce', 'walnuts']","['positive', 'neutral', 'neutral']","['66', '37', '54']","['72', '44', '61']","[6, 7, 7]"
73,"Always a nice crowd, but never loud.",['crowd'],['positive'],['14'],['19'],[5]
74,Always great service!,['service'],['positive'],['13'],['20'],[7]
75,"Always popular, always full, always a wait.",['wait'],['negative'],['38'],['42'],[4]
76,"Ambiance and music funky, which I enjoy.","['Ambiance', 'music']","['positive', 'positive']","['0', '13']","['8', '18']","[8, 5]"
77,Ambiance is barely romantic but management tries.,"['Ambiance', 'management']","['negative', 'positive']","['0', '32']","['8', '42']","[8, 10]"
78,Ambiance- relaxed and stylish.,['Ambiance'],['positive'],['0'],['8'],[8]
79,"Ambience is delightful, service impeccable.","['Ambience', 'service']","['positive', 'positive']","['0', '24']","['8', '31']","[8, 7]"
80,"Ambience is so cute and quaint, good for business although we were there on vacation.",['Ambience'],['positive'],['0'],['8'],[8]
81,"Among all of the new 5th avenue restaurants, this offers by far one of the best values for your money.",['values for your money'],['positive'],['80'],['101'],[21]
82,"An excellent alternative to fast food joints and ordering in but, the food was slightly disappointing.","['fast food', 'food']","['negative', 'negative']","['28', '70']","['37', '74']","[9, 4]"
83,An excellent service,['service'],['positive'],['13'],['20'],[7]
84,"An oasis of refinement:  Food, though somewhat uneven, often reaches the pinnacles of new American fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.","['Food', 'chef', 'fish dishes', 'soups', 'kitchen', 'cuisine']","['conflict', 'positive', 'positive', 'positive', 'positive', 'positive']","['25', '114', '186', '202', '134', '104']","['29', '118', '197', '207', '141', '111']","[4, 4, 11, 5, 7, 7]"
85,And I say snacking because it really is not set up to be a proper dinner.,"['dinner', 'snacking']","['negative', 'neutral']","['66', '10']","['72', '18']","[6, 8]"
86,And I would have to agree with the masses in terms of service - delivery is their Achilles' heel.,"['service', 'delivery']","['negative', 'negative']","['54', '64']","['61', '72']","[7, 8]"
87,"And Kruno, the beverage manager is the best bartender I have yet to come across.","['bartender', 'beverage manager']","['positive', 'positive']","['44', '15']","['53', '31']","[9, 16]"
88,And at the conclusion of this culinary nightmare the check was given to our table by knocking over a glass of water.,"['check', 'table', 'glass of water']","['neutral', 'neutral', 'neutral']","['53', '76', '101']","['58', '81', '115']","[5, 5, 14]"
89,And even with it's Pub atmosphere they were great to my kids too!,['Pub atmosphere'],['conflict'],['19'],['33'],[14]
90,"And forget what you read under me, the atmosphere isn't that bad either.",['atmosphere'],['neutral'],['39'],['49'],[10]
91,"And it all comes at a very reasonable price (congee, noodles, and rice dishes are no more than $3-6 each).","['price', 'congee', 'noodles', 'rice dishes']","['positive', 'neutral', 'neutral', 'neutral']","['38', '45', '53', '66']","['43', '51', '60', '77']","[5, 6, 7, 11]"
92,And really large portions.,['portions'],['positive'],['17'],['25'],[8]
93,And the Tom Kha soup was pathetic.,['Tom Kha soup'],['negative'],['8'],['20'],[12]
94,And the bill was outragous.,['bill'],['negative'],['8'],['12'],[4]
95,And the food was fantastic.,['food'],['positive'],['8'],['12'],[4]
96,And the fried clams had just enough kick to them to make 'em worth eating.,['fried clams'],['positive'],['8'],['19'],[11]
97,And the prices were way to high for what you get.,['prices'],['negative'],['8'],['14'],[6]
98,"And the staff is also young, energeic and hot!!!!",['staff'],['positive'],['8'],['13'],[5]
99,And their prices are very high - they actually think that they can get away with charging such prices for such terrible food and service!,"['prices', 'prices', 'food', 'service']","['negative', 'negative', 'negative', 'negative']","['10', '95', '120', '129']","['16', '101', '124', '136']","[6, 6, 4, 7]"
100,And they have these home made potato chips at the bar that are the most delicious things in the world!,"['potato chips', 'bar']","['positive', 'neutral']","['30', '50']","['42', '53']","[12, 3]"
101,And they provided a delicious dessert on the house!,['dessert'],['positive'],['30'],['37'],[7]
102,"And, atlhough tables opened up next to us and we ASKED for a slightly larger space, they left us awkardly seated.","['tables', 'space']","['neutral', 'neutral']","['14', '77']","['20', '82']","[6, 5]"
103,Another plus is most of the entrees are approx.,['entrees'],['positive'],['28'],['35'],[7]
104,Any if you have a reservation you'll wait for max 5 minutes - so have a drink at the bar.,"['reservation', 'drink', 'bar']","['positive', 'neutral', 'neutral']","['18', '72', '85']","['29', '77', '88']","[11, 5, 3]"
105,"Anyway, the food is good, the price is right and they have a decent wine list.","['food', 'price', 'wine list']","['positive', 'positive', 'positive']","['12', '30', '68']","['16', '35', '77']","[4, 5, 9]"
106,"Anyways, if you're in the neighborhood to eat good food, I wouldn't waste my time trying to find something, rather go across the street to Tamari.",['food'],['positive'],['51'],['55'],[4]
107,"Apparently, the good cook works then.",['cook'],['positive'],['21'],['25'],[4]
108,Appetizers are somewhere around $7 each and the main dishes are between $11 and $16.,"['Appetizers', 'main dishes']","['neutral', 'neutral']","['0', '48']","['10', '59']","[10, 11]"
109,"As I made the title, it's an affordable restaurant for great taste.",['taste'],['positive'],['61'],['66'],[5]
110,"As a long-time patron of Mamoun's, I always figured that I had found the best late night food spot in the city.",['food spot'],['positive'],['89'],['98'],[9]
111,As always we had a great glass of wine while we waited.,['glass of wine'],['positive'],['25'],['38'],[13]
112,"As far as the service goes, the waitresses were not particularly friendly, but they got the job done.","['service', 'waitresses']","['conflict', 'conflict']","['14', '32']","['21', '42']","[7, 10]"
113,"As for the bar, this is another bad idea.",['bar'],['negative'],['11'],['14'],[3]
114,"As much as I like the food there, I can't bring myself to go back.",['food'],['positive'],['22'],['26'],[4]
115,As soon as I wake up on a saturday or sunday it is the first thing on my mind is when and how I will be getting to fried dumpling.,['fried dumpling'],['positive'],['115'],['129'],[14]
116,As soon as my father lifted his pen from the check a chef appeared to usher us out.,"['chef', 'check']","['negative', 'neutral']","['53', '45']","['57', '50']","[4, 5]"
117,"As there were so many to choose from we wandered up and down the street looking in the windows and such noticicing many empty seats ,except at Taj Mahal.",['seats'],['negative'],['126'],['131'],[5]
118,"As we were leaving, the couple standing by the door said to another waiter, we're not in a hurry.",['waiter'],['neutral'],['68'],['74'],[6]
119,As we were sitting eating the subpar food the manager proceeded to berate a couple of his employees for putting out the wrong containers for condiments and explained to them how expensive these containers were.,"['food', 'employees', 'containers for condiments', 'containers', 'manager']","['negative', 'negative', 'negative', 'neutral', 'negative']","['37', '90', '126', '194', '46']","['41', '99', '151', '204', '53']","[4, 9, 25, 10, 7]"
120,"Aside from the Sea Urchin, the chef recommended an assortment of fish including Fatty Yellow Tail, Boton Shrimp, Blue Fin Torro (Fatty Tuna), Sea Eel, etc.","['chef', 'assortment of fish', 'Fatty Yellow Tail', 'Boton Shrimp', 'Sea Eel', 'Sea Urchin', 'Blue Fin Torro (Fatty Tuna)']","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']","['31', '51', '80', '99', '142', '15', '113']","['35', '69', '97', '111', '149', '25', '140']","[4, 18, 17, 12, 7, 10, 27]"
121,"Aside from the rushed service, we were very impressed with the food and the drinks.","['service', 'food', 'drinks']","['negative', 'positive', 'positive']","['22', '63', '76']","['29', '67', '82']","[7, 4, 6]"
122,"Ask for Usha, the nicest bartender in manhattan.",['bartender'],['positive'],['25'],['34'],[9]
123,"At 5 dumplings for $1, you just cannot go wrong.",['dumplings'],['positive'],['5'],['14'],[9]
124,At the end you're left with a mild broth with noodles that you can slurp out of a cup.,['broth with noodles'],['positive'],['35'],['53'],[18]
125,Authentic Pakistani food.,['Pakistani food'],['positive'],['10'],['24'],[14]
126,"Authentic food and they have REAL service, not just the rush you get sometimes when they try to push you out the door.","['food', 'service']","['positive', 'positive']","['10', '34']","['14', '41']","[4, 7]"
127,"Average to good Thai food, but terrible delivery.","['Thai food', 'delivery']","['positive', 'negative']","['16', '40']","['25', '48']","[9, 8]"
128,Awsome Pizza especially the Margheritta slice.,"['Pizza', 'Margheritta']","['positive', 'positive']","['7', '28']","['12', '39']","[5, 11]"
129,BE CAREFUL before you request extra spice.,['spice'],['neutral'],['36'],['41'],[5]
130,"BUt their best dish is thh Thai spiced curry noodles with shrimp - a dish that would cost $23.95 is most places, but it is $16 here.","['dish', 'Thai spiced curry noodles with shrimp', 'dish', 'cost']","['positive', 'positive', 'positive', 'positive']","['15', '27', '69', '85']","['19', '64', '73', '89']","[4, 37, 4, 4]"
131,"Bagels are ok, but be sure not to make any special requests!",['Bagels'],['neutral'],['0'],['6'],[6]
132,Ballato's is consistently delicious authentic italian food.,['italian food'],['positive'],['46'],['58'],[12]
133,Baluchi's has solid food and a nice decor at reasonable prices.,"['food', 'decor', 'prices']","['positive', 'positive', 'positive']","['20', '36', '56']","['24', '41', '62']","[4, 5, 6]"
134,"Barbecued codfish was gorgeously moist - as if poached - yet the fabulous texture was let down by curiously bland seasoning - a spice rub might have overwhelmed, however herb mix or other sauce would have done much to enhance.","['Barbecued codfish', 'seasoning', 'texture', 'spice rub', 'herb mix', 'sauce']","['positive', 'negative', 'conflict', 'negative', 'negative', 'negative']","['0', '114', '74', '128', '170', '188']","['17', '123', '81', '137', '178', '193']","[17, 9, 7, 9, 8, 5]"
135,Bartender was unable to tear himself away from friends at bar.,"['Bartender', 'bar']","['negative', 'neutral']","['0', '58']","['9', '61']","[9, 3]"
136,"Based on the reviews for dinner, this is a place I would reconsider revisiting for that, but definitely not for Dim Sum again.","['Dim Sum', 'dinner']","['negative', 'positive']","['112', '25']","['119', '31']","[7, 6]"
137,Be careful of portions - they're HUGE.,['portions'],['positive'],['14'],['22'],[8]
138,"Be sure to try the seasonal, and always delicious, specials.",['specials'],['positive'],['51'],['59'],[8]
139,"Because of the delicate thin crust, take-out pies get soggy in their boxes.","['take-out pies', 'crust']","['negative', 'negative']","['36', '29']","['49', '34']","[13, 5]"
140,"Because we didn't have a reservation, we could only sit in the back garden, but it was great, secluded and perfect in nice weather.","['back garden', 'reservation']","['positive', 'negative']","['63', '25']","['74', '36']","[11, 11]"
141,Beef noodle soup is good as well.,['Beef noodle soup'],['positive'],['0'],['16'],[16]
142,Been going here since it opened have seen the quality value decrease considerably.,['quality value'],['negative'],['46'],['59'],[13]
143,"Behind this counter, two men are squeezed in.",['counter'],['negative'],['12'],['19'],[7]
144,"Besides having the table we had been promised given to other restaurant patrons twice before we were actually seated, we were served dishes we hadn't ordered three times, received one of our orders 20 minutes after the rest of the table had been served (and that order was undercooked), and charged $45 more than we should have been on our bill.","['table', 'served', 'dishes', 'table', 'served', 'bill']","['negative', 'negative', 'negative', 'negative', 'negative', 'negative']","['19', '126', '133', '231', '246', '340']","['24', '132', '139', '236', '252', '344']","[5, 6, 6, 5, 6, 4]"
145,"Besides, when you have bad service, that's less money you have to tip.","['service', 'money', 'tip']","['negative', 'negative', 'negative']","['27', '48', '66']","['34', '53', '69']","[7, 5, 3]"
146,"Best Italian food I ever had (and being Italian, that means alot).",['Italian food'],['positive'],['5'],['17'],[12]
147,Best Pastrami I ever had and great portion without being ridiculous.,"['Pastrami', 'portion']","['positive', 'positive']","['5', '35']","['13', '42']","[8, 7]"
148,Best Reuben sandwich ever!,['Reuben sandwich'],['positive'],['5'],['20'],[15]
149,Best Taiwanese food in NY!,['Taiwanese food'],['positive'],['5'],['19'],[14]
150,Best dish is nori-wrapped tuna.,"['nori-wrapped tuna', 'dish']","['positive', 'positive']","['13', '5']","['30', '9']","[17, 4]"
151,Best drumsticks over rice and sour spicy soup in town!,"['drumsticks over rice', 'sour spicy soup']","['positive', 'positive']","['5', '30']","['25', '45']","[20, 15]"
152,"Best of all is the warm vibe, the owner is super friendly and service is fast.","['vibe', 'owner', 'service']","['positive', 'positive', 'positive']","['24', '34', '62']","['28', '39', '69']","[4, 5, 7]"
153,Big Wong gets big Ups for a fine establishment.,['establishment'],['positive'],['33'],['46'],[13]
154,"Bill a little high, but worth it.",['Bill'],['conflict'],['0'],['4'],[4]
155,"Both are delicious, the cooks are friendly and are willing to take a moment and speak to you and shake your hand.",['cooks'],['positive'],['24'],['29'],[5]
156,Both the fresh mozzerella slices and the Plain Cheese slice are phenomenal.,"['fresh mozzerella slices', 'Plain Cheese slice']","['positive', 'positive']","['9', '41']","['32', '59']","[23, 18]"
157,"Both times I was extremely dissappointed by the service, which was boarderline rude.",['service'],['negative'],['48'],['55'],[7]
158,Both times we waited well over a half hour for a table (even though we had reservations).,"['table', 'reservations']","['negative', 'negative']","['49', '75']","['54', '87']","[5, 12]"
159,"Bottom line: B+ for the food, F for the service.","['food', 'service']","['positive', 'negative']","['24', '40']","['28', '47']","[4, 7]"
160,"But after last night, Spice Grill is the only place I'm eating indian cuisine.",['indian cuisine'],['positive'],['63'],['77'],[14]
161,"But don't ever order bacon late at nite (either platter or in sandwiches, for that matter don't from any take out place) as it is from the morning frying turns out hard almost like bacos, hurt my molars.","['bacon', 'platter', 'in sandwiches', 'frying', 'bacos']","['negative', 'negative', 'negative', 'negative', 'negative']","['21', '48', '59', '147', '181']","['26', '55', '72', '153', '186']","[5, 7, 13, 6, 5]"
162,"But for whatever reason, prices are about twice as high.",['prices'],['negative'],['25'],['31'],[6]
163,But that wasn't the icing on the cake: a tiramisu that resembled nothing I have ever had.,"['icing on the cake', 'tiramisu']","['negative', 'negative']","['20', '41']","['37', '49']","[17, 8]"
164,"But the best part about LS is the late night atmosphere, delightfully free of the BTs.",['atmosphere'],['positive'],['45'],['55'],[10]
165,But the coconut rice was good.,['coconut rice'],['positive'],['8'],['20'],[12]
166,But the main hit was the whole grilled fish.,['whole grilled fish'],['positive'],['25'],['43'],[18]
167,But the pizza is way to expensive.,['pizza'],['negative'],['8'],['13'],[5]
168,But the staff was so horrible to us.,['staff'],['negative'],['8'],['13'],[5]
169,But the thai is definitely not great -- bland and indistinguished.,['thai'],['negative'],['8'],['12'],[4]
170,But the thing that my wife and I hated was it was so loud and it felt like 'bar' or 'pub'.,"['bar', 'pub']","['negative', 'negative']","['76', '85']","['79', '88']","[3, 3]"
171,"But they don't have a toaster, which is strange.",['toaster'],['negative'],['22'],['29'],[7]
172,But they've done a really nice job of offering all the typical pizzeria faves plus some terrific specials like the Godmother pizza (a sort of traditional flat pizza with an olive oil-brushed crust and less tomato sauce than usual).,"['Godmother pizza (a sort of traditional flat pizza with an olive oil-brushed crust and less tomato sauce than usual)', 'specials']","['positive', 'positive']","['115', '97']","['230', '105']","[115, 8]"
173,"But when you are seated the waitresses are great, they explain everything on the menu, and the price of the food is really cheap for the service you get.","['waitresses', 'price', 'service', 'menu', 'food']","['positive', 'positive', 'positive', 'neutral', 'neutral']","['28', '95', '137', '81', '108']","['38', '100', '144', '85', '112']","[10, 5, 7, 4, 4]"
174,But who says Murray's is anything about service.,['service'],['neutral'],['40'],['47'],[7]
175,"But, nothing stands out about the cooking.",['cooking'],['neutral'],['34'],['41'],[7]
176,"But, they were too big for the bun.",['bun'],['neutral'],['31'],['34'],[3]
177,"Butter was melted, white wine warm, cheese oozing everywhere.","['Butter', 'white wine', 'cheese']","['negative', 'negative', 'negative']","['0', '19', '36']","['6', '29', '42']","[6, 10, 6]"
178,By far the best salad I have had in a fast food restaurant.,"['salad', 'fast food']","['positive', 'neutral']","['16', '38']","['21', '47']","[5, 9]"
179,By far this is the only chinese desserts place I know in NY or anywhere close in the Northeastern America that serves desserts with frog jelly in a couple of varieties and pig feet ginger simmered in black vinegar.,"['pig feet ginger simmered in black vinegar', 'desserts with frog jelly']","['positive', 'positive']","['172', '118']","['213', '142']","[41, 24]"
180,"By far, the best pizza in Manhattan.",['pizza'],['positive'],['17'],['22'],[5]
181,"Chance is a small cozy restaurant, with a romantic feel to it, the decor is great.",['decor'],['positive'],['67'],['72'],[5]
182,"Check it out, it won't hurt your stomach or your wallet.","['stomach', 'wallet']","['positive', 'positive']","['33', '49']","['40', '55']","[7, 6]"
183,Check out the secret back room.,['secret back room'],['positive'],['14'],['30'],[16]
184,Cheese plate is a varied delight and great bargain at $10.,['Cheese plate'],['positive'],['0'],['12'],[12]
185,Coming from Boston this place is like Emma's Pizza in Kendall Square in Cambridge (although they have more funky toppings!),['toppings'],['positive'],['113'],['121'],[8]
186,"Compared to Ess-a, Tal offers a less doughy bagel!",['bagel'],['negative'],['44'],['49'],[5]
